Team,League,Season,Position,Points,Win,Draw,Loss,Scored,Conceded,Shots_For,Shots_Ag,Shots_Tg_For,Shots_Tg_Ag,Fouls_For,Fouls_Ag,Bk_Pts,Win_H,Draw_H,Loss_H,Scored_H,Conceded_H,Shots_For_H,Shots_Ag_H,Shots_Tg_For_H,Shots_Tg_Ag_H,Fouls_For_H,Fouls_Ag_H,Bk_Pts_H,Win_A,Draw_A,Loss_A,Scored_A,Conceded_A,Shots_For_A,Shots_Ag_A,Shots_Tg_For_A,Shots_Tg_Ag_A,Fouls_For_A,Fouls_Ag_A,Bk_Pts_A
Bournemouth,E1,1415,1,90.0,26.0,12.0,8.0,98.0,45.0,767.0,528.0,270.0,154.0,466.0,577.0,835.0,13.0,7.0,3.0,48.0,25.0,395.0,237.0,141.0,65.0,236.0,291.0,375.0,13.0,5.0,5.0,50.0,20.0,372.0,291.0,129.0,89.0,230.0,286.0,460.0
Watford,E1,1415,2,89.0,27.0,8.0,11.0,91.0,50.0,668.0,632.0,252.0,206.0,487.0,460.0,915.0,14.0,4.0,5.0,48.0,22.0,362.0,266.0,129.0,89.0,243.0,254.0,370.0,13.0,4.0,6.0,43.0,28.0,306.0,366.0,123.0,117.0,244.0,206.0,545.0
Norwich,E1,1415,3,86.0,25.0,11.0,10.0,88.0,48.0,740.0,431.0,243.0,154.0,545.0,467.0,950.0,12.0,6.0,5.0,50.0,24.0,439.0,184.0,146.0,71.0,249.0,230.0,405.0,13.0,5.0,5.0,38.0,24.0,301.0,247.0,97.0,83.0,296.0,237.0,545.0
Middlesbrough,E1,1415,4,85.0,25.0,10.0,11.0,68.0,37.0,663.0,532.0,214.0,150.0,583.0,491.0,930.0,15.0,5.0,3.0,42.0,12.0,385.0,240.0,133.0,66.0,287.0,272.0,415.0,10.0,5.0,8.0,26.0,25.0,278.0,292.0,81.0,84.0,296.0,219.0,515.0
Ipswich,E1,1415,5,78.0,22.0,12.0,12.0,72.0,54.0,676.0,604.0,228.0,174.0,525.0,531.0,730.0,15.0,5.0,3.0,40.0,18.0,365.0,291.0,122.0,84.0,261.0,277.0,350.0,7.0,7.0,9.0,32.0,36.0,311.0,313.0,106.0,90.0,264.0,254.0,380.0
Wolves,E1,1415,6,78.0,22.0,12.0,12.0,70.0,56.0,598.0,641.0,198.0,203.0,490.0,496.0,820.0,13.0,6.0,4.0,42.0,23.0,345.0,306.0,115.0,106.0,234.0,234.0,360.0,9.0,6.0,8.0,28.0,33.0,253.0,335.0,83.0,97.0,256.0,262.0,460.0
Brentford,E1,1415,7,78.0,23.0,9.0,14.0,78.0,59.0,710.0,632.0,266.0,215.0,409.0,580.0,780.0,12.0,6.0,5.0,46.0,28.0,401.0,282.0,152.0,93.0,184.0,279.0,330.0,11.0,3.0,9.0,32.0,31.0,309.0,350.0,114.0,122.0,225.0,301.0,450.0
Derby,E1,1415,8,77.0,21.0,14.0,11.0,85.0,56.0,602.0,584.0,215.0,196.0,502.0,604.0,825.0,12.0,7.0,4.0,48.0,24.0,320.0,264.0,111.0,79.0,239.0,286.0,320.0,9.0,7.0,7.0,37.0,32.0,282.0,320.0,104.0,117.0,263.0,318.0,505.0
Blackburn,E1,1415,9,67.0,17.0,16.0,13.0,66.0,59.0,694.0,650.0,217.0,219.0,503.0,522.0,730.0,11.0,6.0,6.0,37.0,28.0,391.0,314.0,125.0,104.0,236.0,256.0,245.0,6.0,10.0,7.0,29.0,31.0,303.0,336.0,92.0,115.0,267.0,266.0,485.0
Birmingham,E1,1415,10,63.0,16.0,15.0,15.0,54.0,64.0,614.0,724.0,204.0,235.0,462.0,554.0,680.0,10.0,7.0,6.0,29.0,31.0,326.0,314.0,106.0,104.0,226.0,287.0,310.0,6.0,8.0,9.0,25.0,33.0,288.0,410.0,98.0,131.0,236.0,267.0,370.0
Cardiff,E1,1415,11,62.0,16.0,14.0,16.0,57.0,61.0,577.0,632.0,173.0,183.0,510.0,530.0,760.0,10.0,5.0,8.0,31.0,30.0,320.0,267.0,98.0,81.0,244.0,269.0,245.0,6.0,9.0,8.0,26.0,31.0,257.0,365.0,75.0,102.0,266.0,261.0,515.0
Sheffield Weds,E1,1415,12,60.0,14.0,18.0,14.0,43.0,49.0,600.0,568.0,166.0,181.0,560.0,518.0,935.0,5.0,11.0,7.0,16.0,20.0,322.0,259.0,87.0,91.0,275.0,274.0,470.0,9.0,7.0,7.0,27.0,29.0,278.0,309.0,79.0,90.0,285.0,244.0,465.0
Charlton,E1,1415,13,60.0,14.0,18.0,14.0,54.0,60.0,475.0,751.0,168.0,220.0,458.0,401.0,640.0,9.0,9.0,5.0,32.0,27.0,264.0,341.0,95.0,105.0,233.0,214.0,305.0,5.0,9.0,9.0,22.0,33.0,211.0,410.0,73.0,115.0,225.0,187.0,335.0
Nott'm Forest,E1,1415,14,59.0,15.0,14.0,17.0,71.0,69.0,673.0,649.0,213.0,205.0,537.0,527.0,735.0,9.0,5.0,9.0,37.0,32.0,373.0,298.0,102.0,92.0,249.0,265.0,325.0,6.0,9.0,8.0,34.0,37.0,300.0,351.0,111.0,113.0,288.0,262.0,410.0
Leeds,E1,1415,15,56.0,15.0,11.0,20.0,50.0,61.0,529.0,706.0,158.0,218.0,559.0,516.0,1025.0,8.0,6.0,9.0,22.0,24.0,289.0,305.0,83.0,84.0,264.0,271.0,525.0,7.0,5.0,11.0,28.0,37.0,240.0,401.0,75.0,134.0,295.0,245.0,500.0
Huddersfield,E1,1415,16,55.0,13.0,16.0,17.0,58.0,75.0,662.0,637.0,237.0,212.0,499.0,494.0,780.0,8.0,8.0,7.0,34.0,34.0,352.0,272.0,138.0,92.0,243.0,267.0,370.0,5.0,8.0,10.0,24.0,41.0,310.0,365.0,99.0,120.0,256.0,227.0,410.0
